song_title,link
Agalloch - In the Shadow of Our Pale Companion [Folk Metal],https://www.youtube.com/watch?v=7Yo9zPfmVEc
"Frank Sinatra - My Way [Traditional Pop, Jazz]",https://www.youtube.com/watch?v=onWf4_yl-pY
"Slipknot member M. Shawn ""Clown"" Crahan's daughter passes away aged 22",http://www.blabbermouth.net/news/slipknots-m-shawn-crahan-mourns-death-of-22-year-old-daughter-gabrielle/
